Distance_(mm),Gray_Value
4.0059,19.8975
4.0120,20.0688
4.0181,20.0839
4.0241,20.1526
4.0302,20.0240
4.0363,19.6792
4.0424,19.5423
4.0485,19.7655
4.0545,20.0662
4.0606,20.2222
4.0667,20.2180
4.0728,20.2304
4.0789,20.1580
4.0849,19.9969
4.0910,19.8539
4.0971,19.6937
4.1032,19.6001
4.1093,19.5700
4.1153,19.4354
4.1214,19.1191
4.1275,18.7344
4.1336,18.3870
4.1396,18.2154
4.1457,18.1945
4.1518,18.4824
4.1579,18.9012
4.1640,19.3808
4.1700,19.7909
4.1761,19.9540
4.1822,19.9286
4.1883,19.8710
4.1944,19.4960
4.2004,19.0265
4.2065,18.6801
4.2126,18.3371
4.2187,18.0046
4.2247,17.8775
4.2308,18.1456
4.2369,18.4354
4.2430,18.4770
4.2491,18.5293
4.2551,18.6062
4.2612,18.5481
4.2673,18.5281
4.2734,18.5169
4.2795,18.6159
4.2855,18.6676
4.2916,18.5653
4.2977,18.3371
4.3038,18.2871
4.3099,18.3250
4.3159,18.1877
4.3220,17.9532
4.3281,17.8844
4.3342,18.0525
4.3402,18.1851
4.3463,18.1412
4.3524,18.0379
4.3585,17.9627
4.3646,17.8488
4.3706,17.7566
4.3767,17.8214
4.3828,17.7941
4.3889,17.8065
4.3950,17.6684
4.4010,17.5006
4.4071,17.3714
4.4132,17.4308
4.4193,17.7053
4.4253,17.9404
4.4314,18.0503
4.4375,17.9908
4.4436,17.9485
4.4497,17.7671
4.4557,17.5056
4.4618,17.3529
4.4679,17.3239
4.4740,17.4172
4.4801,17.6191
4.4861,17.8423
4.4922,17.8436
4.4983,17.7833
4.5044,17.7748
4.5105,17.6741
4.5165,17.4953
4.5226,17.4115
4.5287,17.5099
4.5348,17.6018
4.5408,17.6902
4.5469,17.7328
4.5530,17.8278
4.5591,17.8374
4.5652,17.7183
4.5712,17.5447
4.5773,17.4116
4.5834,17.3583
4.5895,17.2969
4.5956,17.2058
4.6016,17.2093
4.6077,17.2162
4.6138,17.2743
4.6199,17.2110
4.6259,17.0828
4.6320,16.9215
4.6381,16.7232
4.6442,16.5927
4.6503,16.6301
4.6563,16.6237
4.6624,16.5195
